headline,summary,published_at,url
"লভ্যাংশই দিতে পারছে না, কিন্তু ৭ মাসে শেয়ারের দাম বাড়ল ৬০০ শতাংশ","ডিএসইতে গত এক মাসে খান ব্রাদার্সের শেয়ারের দাম দ্বিগুণের বেশি বেড়েছে। আর ৭ মাসে এটির শেয়ারের দাম বেড়েছে ৫৯ টাকা বা প্রায় ৬০০ শতাংশ। এই মূল্যবৃদ্ধিকে তাই অস্বাভাবিক ও অযৌক্তিক বলে মন্তব্য করেছেন বাজার–সংশ্লিষ্ট ব্যক্তিরা। তাঁরা বলছেন, বন্ধ ও লোকসানি একটি কোম্পানির এভাবে মূল্যবৃদ্ধির পেছনে কারসাজি ছাড়া আর কোনো গ্রহণযোগ্য কারণ থাকতে পারে না।",15-11-2023,https://www.prothomalo.com/business/market/885nl9vkn7
"মুনাফায় বিএসআরএম, কারণ তিনটি",বিএসআরএম লিমিটেড গত জুলাই–সেপ্টেম্বর প্রান্তিক শেষে প্রায় ৬৬ কোটি টাকা কর–পরবর্তী মুনাফা করেছে। গত বছরের একই সময়ে কোম্পানিটি ১৬৬ কোটি টাকার বেশি লোকসান করেছিল। গত জুলাই–সেপ্টেম্বরে কোম্পানিটি ২ হাজার ২০ কোটি টাকার ব্যবসা করেছে।,14-11-2023,https://www.prothomalo.com/business/market/9gs84v4q10
"ঢাকার শেয়ারবাজারে লোকসানি 
কোম্পানিই মূল্যবৃদ্ধির শীর্ষে","বাজারসংশ্লিষ্ট ব্যক্তিরা বলছেন, শেয়ারবাজারে এখন বন্ধ ও নিম্নমানের কোম্পানির শেয়ারের দাপট চলছে। নিয়ন্ত্রক সংস্থার তদারকিতে দুর্বলতার কারণে কারসাজিকারকেরা নানা ধরনের গুজব ছড়িয়ে এসব শেয়ারের মূল্য অস্বাভাবিকভাবে বাড়াচ্ছেন। বন্ধ ও নিম্নমানের কোম্পানির দাপটের কারণে ভালো মৌলভিত্তির শেয়ারের প্রতি আগ্রহ হারাচ্ছেন বিনিয়োগকারীরা।",12-11-2023,https://www.prothomalo.com/business/market/h7clx30g69
শেয়ারবাজারে আসছে চতুর্থ প্রজন্মের এনআরবি ব্যাংক,দেশের শেয়ারবাজারে আসছে চতুর্থ প্রজন্মের এনআরবি ব্যাংক। বৃহস্পতিবার পুঁজিবাজার নিয়ন্ত্রক সংস্থা বাংলাদেশ সিকিউরিটিজ অ্যান্ড এক্সচেঞ্জ কমিশনের (বিএসইসি) এক সভায় কোম্পানিটির প্রাথমিক গণপ্রস্তাব (আইপিও) অনুমোদন করা হয়েছে।,09-11-2023,https://www.prothomalo.com/business/market/ninkcai6mt
"আইপিওতে আসার আগে
জাল দলিলে বাড়ল সম্পদমূল্য","বিএসইসির আদেশে দেখা যায়, সর্বোচ্চ ৭৫ লাখ টাকা জরিমানা করা হয়েছে কোম্পানিটির ব্যবস্থাপনা পরিচালক মনির আহমেদকে। এ ছাড়া কোম্পানির চেয়ারম্যান তাহমিনা বেগম এবং পরিচালক সেলিনা আহমেদ, সাদিয়া আহমেদ ও মাকসুদ আহমেদের প্রত্যেককে ৫০ লাখ করে ২ কোটি টাকা জরিমানা করা হয়। কোম্পানির এমডি মনির আহমেদ ও চেয়ারম্যান তাহমিনা বেগম সম্পর্কে স্বামী–স্ত্রী। অপর তিন পরিচালক তাঁদের সন্তান।",09-11-2023,https://www.prothomalo.com/business/market/hdjr1fiinp
"দেড় যুগ ধরে বন্ধ কোম্পানি, জানেন না বিনিয়োগকারীরা","বিএসইসির তদন্ত প্রতিবেদনে বলা হয়েছে, কোম্পানিটি তাদের আর্থিক প্রতিবেদনে যন্ত্রপাতি ও জায়গাজমি মিলিয়ে মোট ৬ কোটি ৩৪ লাখ টাকার সম্পদমূল্য দেখিয়েছে। দীর্ঘদিন ধরে কোম্পানিটি বন্ধ থাকায় এ সম্পদমূল্য যাচাইয়ের ক্ষেত্রে ক্ষতিজনিত সম্পদ মূল্যায়নের দরকার ছিল। কিন্তু কোম্পানিটি এ ধরনের কোনো মূল্যায়ন করেনি। ফলে সম্পদমূল্য আদৌ কত, সেই সম্পর্কে সঠিক তথ্য নেই।",08-11-2023,https://www.prothomalo.com/business/market/eql4fit7zs
মালিকানা ছেড়ে দিচ্ছেন স্বাস্থ্যমন্ত্রী ও তাঁর পরিবারের সদস্যরা,স্বাস্থ্যমন্ত্রী জাহিদ মালেকের পারিবারিক বিমা কোম্পানি সানলাইফ ইনস্যুরেন্সের উদ্যোক্তা-পরিচালকেরা তাদের সব শেয়ার বিক্রি করে দিচ্ছেন। আর কোম্পানিটির উদ্যোক্তা-পরিচালকদের এসব শেয়ার  কিনতে যাচ্ছে বিমা খাতের অপর কোম্পানি গ্রিন ডেলটা ইনস্যুরেন্স ও তার সহযোগী প্রতিষ্ঠান মিলে।,30-10-2023,https://www.prothomalo.com/business/rrlj5ykgf9
হরতালের মধ্যেও দেশের দুই স্টক এক্সচেঞ্জে লেনদেন স্বাভাবিক,"অনেক দিন ধরেই জেমিনি সি ফুড লেনদেনের শীর্ষ তালিকায় আছে। বাজারে বেশ কিছুদিন ধরেই ধারণা ছিল, জেমিনি সি ফুড বড় অঙ্কের লভ্যাংশ ঘোষণা করবে। ফলে কোম্পানিটির প্রতি বিনিয়োগকারীদের আগ্রহ ছিল।",29-10-2023,https://www.prothomalo.com/business/market/pes8vggpqa
শেয়ার ছাড়বে ক্রাফটসম্যান ফুটওয়্যার,"ক্রাফটসম্যান ফুটওয়্যারের কর্মকর্তারা জানান, চামড়ার জুতা তৈরির প্রক্রিয়াটি ন্যূনতম ছয়টি ধাপে সম্পন্ন হয়ে থাকে। চামড়া এনে প্রথমে কারখানার বন্ডেড ওয়্যারহাউসে রাখা হয়। গ্রাহকের চাহিদা ও জুতার নকশা অনুসারে কর্মীরা সেই চামড়া কাটেন ও এর পুরুত্ব কমান।",29-10-2023,https://www.prothomalo.com/business/market/c1auut2gab
"শেয়ারবাজারের লেনদেনে ধীরগতি, ফ্লোর প্রাইসে আটকে আছে ভালো শেয়ার",প্রথম দেড় ঘণ্টায় লেনদেনের শীর্ষে থাকা তসরিফা ইন্ডাস্ট্রিজ লিমিটেড গত জুনে সমাপ্ত অর্থবছরের জন্য পরিচালনা পর্ষদ সভা ও লভ্যাংশ ঘোষণার তারিখ নির্ধারণ করেছে। একে কেন্দ্র করে কোম্পানিটির শেয়ারের দাম বেড়েছে বলে বিশ্লেষকেরা মনে করছেন।,23-10-2023,https://www.prothomalo.com/business/market/g81madjssk
শেয়ারবাজার: লভ্যাংশ ঘোষণার প্রভাব শেয়ারের দামে,আজ লেনদেনের প্রথম এক ঘণ্টায় ডিএসইর প্রধান সূচক ছিল ঊর্ধ্বমুখী। তবে বাকী দুই সূচকে নিম্নমুখী প্রবণতা দেখা গেছে। এর মধ্যে বেলা ১১টা পর্যন্ত প্রধান সূচক ডিএসইএক্স বেড়েছে ২ দশমিক ৮১ পয়েন্ট। এ ছাড়া ডিএসইএস সূচক ১ দশমিক ৩১ পয়েন্ট ও ডিএস৩০ সূচক শূন্য দশমিক ২১ পয়েন্ট কমেছে।,22-10-2023,https://www.prothomalo.com/business/market/my0zepbhsl
"আনলিমার শেয়ারে কারসাজি কোটি টাকার ওপরে, জরিমানা লাখে","কারণ, কারসাজিকারকেরা তখন মনে করেন কারসাজির মাধ্যমে বড় অঙ্কের মুনাফা করে অল্প জরিমানা দিয়ে পার পাওয়া সম্ভব। তাই তাঁরা কারসাজিতে আরও বেশি উৎসাহিত হন।",19-10-2023,https://www.prothomalo.com/business/market/puihiqkl2a
পেনশনে কী লাভ শেয়ারবাজারের,"আইএমএফের পক্ষ থেকে যখন প্রশ্ন করা হয়, সঞ্চয়পত্রের তুলনায় বন্ডের সুদের হার কম হওয়ায় কীভাবে তা সম্ভব হবে? জবাবে বিএসইসি জানায়, বন্ডে বিনিয়োগ উৎসাহিত করতে কর মওকুফ সুবিধা দিতে পারে সরকার। ফলে সাধারণ মানুষও বন্ডে বিনিয়োগে এগিয়ে আসবেন।",17-10-2023,https://www.prothomalo.com/business/market/m4e3d50qgh
"বিমা ও খাদ্য খাতনির্ভর শেয়ারবাজার, চলতি সপ্তাহও কি তা–ই যাবে","বাজার–সংশ্লিষ্ট ব্যক্তিরা বলছেন, বর্তমানে বাজারে যে ধারা চলছে, তা সামগ্রিকভাবে বাজারের জন্য ক্ষতিকর। কারণ, এসব খাত ও কোম্পানির শেয়ারের মূল্য সংশোধন হলেই দেখা যাচ্ছে বাজারে লেনদেন ও সূচকের বড় পতন হচ্ছে। এমনিতে বাজারে নতুন বিনিয়োগকারীরা আসছেন না।",15-10-2023,https://www.prothomalo.com/business/market/h6zrbbji9t
উত্তরাঞ্চলে বিনিয়োগকারী বাড়ানোর আহ্বান,বিশ্ব বিনিয়োগকারী সপ্তাহ উপলক্ষে ঢাকা স্টক এক্সচেঞ্জ (ডিএসই) ও ডিএসই ব্রোকারস অ্যাসোসিয়েশন (ডিবিএ)  এই সেমিনারের আয়োজন করে,13-10-2023,https://www.prothomalo.com/business/market/01i2pih1p4
"মূলধন বাড়াতে বোনাস, দাম বাড়ল মুন্নু অ্যাগ্রোর","পুঁজিবাজার নিয়ন্ত্রক সংস্থা বাংলাদেশ সিকিউরিটিজ অ্যান্ড এক্সচেঞ্জ কমিশনের (বিএসইসি) নির্দেশনা অনুযায়ী, শেয়ারবাজারের মূল বোর্ডে তালিকাভুক্ত সব কোম্পানির সর্বনিম্ন মূলধন হতে হবে ৩০ কোটি টাকা। ",12-10-2023,https://www.prothomalo.com/business/market/46qpoijplu
"মূলধন বাড়াতে সর্বোচ্চ বোনাস লভ্যাংশ, 
লেনদেনে আধিপত্য মুন্নু এগ্রোর","কোম্পানিটির বর্তমান পরিশোধিত মূলধন ২ কোটি ৭৩ লাখ টাকা। পুঁজিবাজার নিয়ন্ত্রক সংস্থা বাংলাদেশ সিকিউরিটিজ অ্যান্ড এক্সচেঞ্জ কমিশনের (বিএসইসি) নির্দেশনা অনুযায়ী, শেয়ারবাজারের মূল বোর্ডে তালিকাভুক্ত সব কোম্পানির সর্বনিম্ন মূলধন হতে হবে ৩০ কোটি টাকা। ",11-10-2023,https://www.prothomalo.com/business/market/e10c7fn7vm
"‘ব্লক মার্কেটে’ বিশেষ চক্র, কী হচ্ছে দেখছে না কেউ ",৯ সেপ্টেম্বর সোমবার। ডিএসইর মূল বাজারে ন্যাশনাল ব্যাংকের শেয়ার ৮ টাকা ৩০ পয়সার ফ্লোর প্রাইসে লেনদেন হয়। বিক্রেতারা এ দামেই লাখ লাখ শেয়ার বেচতে আগ্রহী ছিলেন। অথচ এদিন ব্লক মার্কেটে ব্যাংকটির ২ কোটি শেয়ারের হাতবদল হয় ৯ টাকা ১০ পয়সায়।,11-10-2023,https://www.prothomalo.com/business/market/t4kipajdtb
"সূচকের উত্থান-পতন, লেনদেনে গতি কম","সকালে একাধিক ব্রোকারেজ হাউসের শীর্ষ পর্যায়ের কর্মকর্তার সঙ্গে কথা বলে জানা যায়, পরপর দুই দিন যাতে বাজারে বড় ধরনের দরপতন না ঘটে, সে জন্য তদারকি বাড়িয়েছে নিয়ন্ত্রক সংস্থা। বিক্রি থামিয়ে বাজারের পতন ঠেকানোর চেষ্টা করা হচ্ছে। সেই চেষ্টার প্রাথমিক ফল হিসেবে সূচক উর্ধ্বমুখী ধারায় ফেরে।",09-10-2023,https://www.prothomalo.com/business/market/l51h5locz1
স্বল্প মূলধনি কোম্পানির দাপট চলছে শেয়ারবাজারে,"ডিএসইতে কোম্পানিটির শেয়ারের দাম মাত্র ৫ কার্যদিবসে ২০৬ টাকা বা সোয়া ২৪ শতাংশ বেড়ে আবারও হাজার টাকা ছাড়িয়েছে। এর মধ্যে গত বৃহস্পতিবার এক দিনেই বেড়েছে সাড়ে ৭ শতাংশ বা সাড়ে ৭৩ টাকা। ফলে এই শেয়ারের দাম বেড়ে ১ হাজার ৫৪ টাকায় ওঠে, যা গত এক বছরে সর্বোচ্চ। গত ২৪ সেপ্টেম্বর শেয়ারটির দাম ছিল ৮০৮ টাকা।",08-10-2023,https://www.prothomalo.com/business/market/u2yhmfb2ux
বিশেষ নিরীক্ষা হবে শেয়ারবাজারের ৫০ প্রতিষ্ঠানের,সম্প্রতি পুঁজিবাজার নিয়ন্ত্রক সংস্থা বিএসইসির সভায় অবণ্টিত লভ্যাংশ বিতরণ করা ৫০ প্রতিষ্ঠানের ওপর বিশেষ নিরীক্ষার সিদ্ধান্ত হয়। এ সপ্তাহেই আদেশ জারি হবে বলে বিএসইসি সূত্রে জানা গেছে।  ,08-10-2023,https://www.prothomalo.com/business/market/y8v5wh3gnq
"লাফিয়ে বাড়ছে লিবরার শেয়ারের 
দাম, নিশ্চুপ নিয়ন্ত্রক সংস্থা",ডিএসইতে গত ৬ এপ্রিল কোম্পানিটির শেয়ারের দাম ছিল ৬৬৯ টাকা। সেখান থেকে তা বেড়ে এখন হাজার টাকা ছুঁই ছুঁই করছে। কোম্পানিটি কয়েক বছর ধরেই লোকসানি প্রতিষ্ঠান। ২০২০ সালের পর এটি শেয়ারধারীদের কোনো লভ্যাংশ দিতে পারেনি। ,05-10-2023,https://www.prothomalo.com/business/market/5epxnkvgnj
ইটিএফের হাত ধরে চালু হবে ‘শর্টসেল’,"দেশের শেয়ারবাজারে ইটিএফ হিসেবে পরিচিত নতুন ধরনের এ পণ্য বাজারে আনতে দীর্ঘদিন ধরে কাজ করছে ঢাকা স্টক এক্সচেঞ্জ (ডিএসই) ও লঙ্কাবাংলা অ্যাসেট ম্যানেজমেন্টের একটি দল। এ দলের একাধিক সদস্যের সঙ্গে কথা বলে জানা যায়, ইটিএফও একধরনের মিউচুয়াল ফান্ড। ",05-10-2023,https://www.prothomalo.com/business/market/hpjo54yrh9
"রিংশাইনের মালিকানা বদলে
বিএসইসির প্রাথমিক সম্মতি",রিংশাইনের ৯ উদ্যোক্তা–পরিচালকের হাতে থাকা ৩৮ শতাংশ শেয়ার অধিগ্রহণ করবে ওয়াইজ স্টার টেক্সটাইল নামের এক কোম্পানি। সোয়া চার শ কোটি টাকার দেনাও গ্রহণ করবে তারা।,04-10-2023,https://www.prothomalo.com/business/market/bdx1lq8ohk
"সমন্বিত সফটওয়্যার চালু হবে 
সব ব্রোকারেজ হাউসে","বিএসইসি বলছে, শেয়ারবাজারে ব্রোকারেজ হাউসগুলোর ব্যাক অফিস সফটওয়্যারে অতি গুরুত্বপূর্ণ তথ্য সংরক্ষণ করা হয়। এত দিন ব্রোকারেজ হাউসগুলো তাদের নিজেদের পছন্দের সফটওয়্যার ব্যবহার করে আসছিল। এ ক্ষেত্রে সমন্বিত কোনো সফটওয়্যার ছিল না। ",03-10-2023,https://www.prothomalo.com/business/market/gu8939tmg9
লিগেসির শেয়ারে পোয়াবারো প্লেসমেন্টধারীদের,"দেশের প্রধান শেয়ারবাজার ঢাকা স্টক এক্সচেঞ্জে (ডিএসই) গত রোববার লিগেসি ফুটওয়্যারের রেকর্ড তারিখপরবর্তী লেনদেন শুরু হয়। নিয়ম অনুযায়ী, যখন কোনো কোম্পানি নতুন করে শেয়ার ইস্যু করে, তখন রেকর্ড তারিখের পরদিন ইস্যু করা শেয়ারের আনুপাতিক হারে ওই কোম্পানির শেয়ারের বাজারমূল্য সমন্বয় করা হয়। ",02-10-2023,https://www.prothomalo.com/business/market/fmgutgjiag
"বড় ধরনের লোকসানে আর্থিক 
প্রতিষ্ঠান ফিনিক্স ফাইন্যান্স",চলতি বছরের প্রথম ৬ মাসে প্রতিষ্ঠানটির শেয়ারপ্রতি আয় বা ইপিএস কমে ১৩ টাকা ৪৭ পয়সা ঋণাত্মক হয়ে গেছে। অর্থাৎ কোম্পানিটি এ ৬ মাসে প্রতি শেয়ারের বিপরীতে ১৩ টাকা ৪৭ পয়সা লোকসান করেছে।,01-10-2023,https://www.prothomalo.com/business/market/zlnbxdoi0j
"কারখানা বন্ধ, পাঁচ কোম্পানির শেয়ার বিক্রি হচ্ছে বাজারে","বিনিয়োগকারীসহ বাজারসংশ্লিষ্ট ব্যক্তিদের মধ্যে প্রশ্ন দেখা দিয়েছে, এসব কোম্পানির ভবিষ্যৎ কি? তাদের শেয়ারে বিনিয়োগকারীদেরই বা কী হবে? প্রশ্নগুলোর কোনো সদুত্তর মিলছে না।",30-09-2023,https://www.prothomalo.com/business/market/hkp7658su7
শেয়ারবাজার নিয়ে আবার স্বপ্ন দেখালেন বিএসইসি চেয়ারম্যান,দেশের শেয়ারবাজারের বিনিয়োগকারীরা এখন আস্থার সংকটে ভুগছেন। লেনদেন নিয়মিত কমছে। নিম্নমানের কোম্পানির শেয়ারের দাম বাড়ানো হচ্ছে। ফ্লোরপ্রাইসের কারণে এক বছরের বেশি সময় ধরে ভালো ভালো কোম্পানির শেয়ারের লেনদেন হচ্ছে না।,29-09-2023,https://www.prothomalo.com/business/market/h6fayu4b7j
নামে নামে শেয়ারের দামে টান ,"ডিএসইর পরিচালক শাকিল রিজভী বলেন, ‘অতীতে আমরা কয়েকবার দেখেছি একই গ্রুপের কোম্পানির ক্ষেত্রে একটির ঘোষণায় অন্যগুলোরও দাম বেড়েছে। তবে সেই মূল্যবৃদ্ধি শেষ পর্যন্ত স্থায়ী হয় না। এপেক্সের ক্ষেত্রেও গতকাল একই ধরনের ঘটনা দেখলাম। এর মধ্যে অ্যাপেক্স ফুটওয়্যারের মূল্যবৃদ্ধির পেছনে লভ্যাংশ ও মুনাফা বৃদ্ধির সুনির্দিষ্ট তথ্য রয়েছে। ",28-09-2023,https://www.prothomalo.com/business/market/ts88ak141d
"সংকটেও ভালো মুনাফা, লেনদেনের শীর্ষে এপেক্স ফুটওয়্যার  ",সাধারণত কোম্পানির এক বছরের যাবতীয় খরচ ও কর বাদ যাওয়ার পর যে মুনাফা থাকে সেটিকে ওই কোম্পানির মোট শেয়ার সংখ্যা দিয়ে ভাগ করে ইপিএসের হিসাব করা হয়। তাই ইপিএস হচ্ছে মূলত একটি কোম্পানির শেয়ার প্রতি প্রকৃত মুনাফার তথ্য। ইপিএস বেড়ে যাওয়া মানে কোম্পানির মুনাফা বৃদ্ধি পাওয়া। ,27-09-2023,https://www.prothomalo.com/business/market/qxthyb4st5
ফ্লোর প্রাইসে টান সিএসইর মুনাফায় ,"সাধারণত স্টক এক্সচেঞ্জের নিয়মিত আয়ের বড় দুটি উৎস লেনদেন ফি বা লেনদেন থেকে আদায় করা মাশুল। আর আয়ের আরেকটি বড় উৎস তালিকাভুক্তির ফি। নতুন কোম্পানি যখন শেয়ারবাজারে তালিকাভুক্ত হয়, তখন নির্দিষ্ট পরিমাণে মাশুল পায় স্টক এক্সচেঞ্জ কর্তৃপক্ষ।",26-09-2023,https://www.prothomalo.com/business/market/2ll0cilx32
আলিফ গ্রুপের তালিকাভুক্ত দুই কোম্পানি একীভূত হবে,শেয়ারবাজারে তালিকাভুক্ত আলিফ গ্রুপের দুটি কোম্পানি একীভূত হতে যাচ্ছে। গ্রুপটির পরিচালনা পর্ষদ এ সিদ্ধান্ত নিয়েছে। এ সিদ্ধান্ত কার্যকর হলে আলিফ নামের দুই কোম্পানি মিলে শেয়ারবাজারে এক কোম্পানি হয়ে যাবে। আজ সোমবার ঢাকা স্টক এক্সচেঞ্জের (ডিএসই) ওয়েবসাইটের মাধ্যমে বিনিয়োগকারীদের এ তথ্য জানানো হয়েছে।,25-09-2023,https://www.prothomalo.com/business/market/argxooexnw
ভিসা নীতির ‘দুশ্চিন্তা’ কাটিয়ে ঘুরে দাঁড়াতে পারবে কি শেয়ারবাজার,গতকাল দেশের শেয়ারবাজারে বড় দরপতন হয়েছে। প্রধান শেয়ারবাজার ঢাকা স্টক এক্সচেঞ্জে (ডিএসই) ফ্লোর প্রাইসে আটকে থাকা কোম্পানি বাদে এদিন হাতবদল হওয়া ৯২ শতাংশ শেয়ারেরই দাম কমেছে। ,25-09-2023,https://www.prothomalo.com/business/market/e1ezjym64u
ভিসা নীতি নিয়ে ‘দুশ্চিন্তা’য় বড় দরপতন শেয়ারবাজারে,ডিএসইতে এদিন লেনদেন কমে নেমে এসেছে ৫০০ কোটি টাকায়। গত বৃহস্পতিবার এই শেয়ারবাজারে লেনদেনের পরিমাণ ছিল ৭৩৫ কোটি টাকা।,24-09-2023,https://www.prothomalo.com/business/market/p1lcfvins5
লেনদেনের শুরুতেই লাফিয়ে দাম বাড়ল ইউনিয়ন ইনস্যুরেন্সের,-ঢাকার বাজারে লেনদেন শুরুর কয়েক মিনিটের মধ্যে কোম্পানিটির শেয়ারের সর্বোচ্চ মূল্যবৃদ্ধি ঘটে। তাতে এটি লেনদেনের শীর্ষে জায়গা করে নেয়। যদিও এক দিনে সর্বোচ্চ মূল্যবৃদ্ধি ঘটতে পারে—এমন কোনো মূল্য সংবেদনশীল তথ্য গত এক সপ্তাহে প্রকাশ করেনি কোম্পানিটি।,24-09-2023,https://www.prothomalo.com/business/market/kj9qsq4b40
কারসাজির শেয়ারই এখন মূল্যবৃদ্ধির শীর্ষে,"ডিএসইর তথ্য অনুযায়ী, গত ২৪ আগস্ট কোম্পানিটির প্রতিটি শেয়ারের বাজারমূল্য ছিল ৫৭ টাকা, যা গত সপ্তাহ শেষে বেড়ে দাঁড়ায় ১৩২ টাকা ৫০ পয়সা। কারসাজিকারকদের একটি চক্র নানা গুজব ছড়িয়ে কোম্পানিটির শেয়ারের দাম বাড়াচ্ছে।",24-09-2023,https://www.prothomalo.com/business/market/sbh44q08x0
